"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Butera Israel & Becker","$70000","Emigrant Bank"," James J Butera ","No Revolving Door Profiles","Non Former Members of Congress"
"Butera Israel & Becker","$70000","Emigrant Bank"," Ryan D Israel ","No Revolving Door Profiles","Non Former Members of Congress"
