"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Squire Patton Boggs","$0","Al-Mawarid Bank"," Kathryn Strohmaier ","Revolving Door Profiles","Non Former Members of Congress"
