"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"1607 Strategies","$30000","BMO Financial Corp"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"BMO Harris Bank","$860000",""," Ashley Ellefritz ","Revolving Door Profiles","Non Former Members of Congress"
"BMO Harris Bank","$860000",""," Mary Kenney ","No Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$15000","BMO Financial Corp"," Doyle Bartlett ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$15000","BMO Financial Corp"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"GrayRobinson PA","$130000","BMO Financial Corp"," Doyle Bartlett ","Revolving Door Profiles","Non Former Members of Congress"
"GrayRobinson PA","$130000","BMO Financial Corp"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$200000","BMO Harris Bank"," Joshua H Raymond ","Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$200000","BMO Harris Bank"," Jeffrey L Stoltzfoos ","Revolving Door Profiles","Non Former Members of Congress"
