"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Peter Damon Group","$12000","World Business Lenders"," Darren Peters ","Revolving Door Profiles","Non Former Members of Congress"
