"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Abigail Fox Bresett ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Chris Cole ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Denyette Depierro ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Tony Jackson ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Erin J Kanoy Siefring ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Robert Rowe ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Stephen J Verdier ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1563118",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Roth Group","$20000","Independent Community Bankers of America"," Josh Faber ","No Revolving Door Profiles","Non Former Members of Congress"
"Roth Group","$20000","Independent Community Bankers of America"," Toby Roth ","Revolving Door Profiles","Former Members of Congress"
"Sheffield Brothers","$60000","Independent Community Bankers of America"," Joi E Sheffield ","Revolving Door Profiles","Non Former Members of Congress"
"Timothy R Rupli & Assoc","$360000","Independent Community Bankers of America"," Timothy R Rupli ","Revolving Door Profiles","Non Former Members of Congress"
