"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Foley Maldonado & O'Toole","$54316","California Assn of Industrial Banks"," Lee III Foley ","Revolving Door Profiles","Non Former Members of Congress"
