"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ben Barnes Group","$285000","Laredo National Bank"," Ben Barnes ","No Revolving Door Profiles","Non Former Members of Congress"
"Ben Barnes Group","$285000","Laredo National Bank"," Kent Caperton ","No Revolving Door Profiles","Non Former Members of Congress"
"Ben Barnes Group","$285000","Laredo National Bank"," Patsy Lee Thomasson ","No Revolving Door Profiles","Non Former Members of Congress"
"Ben Barnes Group","$285000","Laredo National Bank"," Wyeth Wiedeman ","No Revolving Door Profiles","Non Former Members of Congress"
"Ben Barnes Group","$285000","Laredo National Bank"," John R Wyma ","Revolving Door Profiles","Non Former Members of Congress"
"Federalist Group","$180000","Laredo National Bank"," John Green ","Revolving Door Profiles","Non Former Members of Congress"
"Federalist Group","$180000","Laredo National Bank"," G Stewart Hall ","Revolving Door Profiles","Non Former Members of Congress"
"Federalist Group","$180000","Laredo National Bank"," Drew Maloney ","Revolving Door Profiles","Non Former Members of Congress"
"Federalist Group","$180000","Laredo National Bank"," Nancy H Mason ","Revolving Door Profiles","Non Former Members of Congress"
