"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Locke Lord Strategies","$140000","Mid-Sized Bank Coalition"," Mark A Siegel ","Revolving Door Profiles","Non Former Members of Congress"
