"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Huntington Bancshares","$245000",""," Michael J Beer ","Revolving Door Profiles","Non Former Members of Congress"
"Huntington Bancshares","$245000",""," Barbara Benham ","No Revolving Door Profiles","Non Former Members of Congress"
"Huntington Bancshares","$245000",""," Jenny B DiJames ","Revolving Door Profiles","Non Former Members of Congress"
"Huntington Bancshares","$245000",""," Christopher Hatcher ","Revolving Door Profiles","Non Former Members of Congress"
"Huntington Bancshares","$245000",""," Matthew Kallner ","No Revolving Door Profiles","Non Former Members of Congress"
