"Client/Parent","Subsidiary/Affiliate","Total"
"American Bankers Assn","","$9917000"
"Independent Community Bankers of America","","$5220000"
"Citigroup Inc","","$4990000"
"Wells Fargo","","$3770000"
"Consumer Bankers Assn","","$3680000"
"Bank Policy Institute","","$3540000"
"JPMorgan Chase & Co","","$2970000"
"Bank of America","","$2790000"
"Ally Financial","","$2330000"
"US Bancorp","","$2050000"
"Promontory Interfinancial Network","","$1730000"
"HSBC Holdings","","$1590000"
"Halkbank","","$1470000"
"Regions Financial","","$1460000"
"Fifth Third Bancorp","","$1280000"
"Institute of International Bankers","","$1180000"
"BB&T Corp","","$1169918"
"SunTrust Banks","","$1157000"
"Electronic Payments Coalition","","$1117000"
"Bank of Montreal","","$820000"
"National Assn of Govt Guaranteed Lenders","","$640000"
"KeyCorp","","$632000"
"Association of Banks in Lebanon","","$630000"
"Standard Chartered plc","","$610000"
"Toronto-Dominion Bank","","$590000"
"Citizens Financial Group","","$560000"
"Banco Santander","","$470000"
"Huntington Bancshares","","$451000"
"PNC Financial Services","","$430000"
"M&T Bank","","$415000"
"First Republic Bank","","$370000"
"Financial Security Safety & Soundness Coalition","","$320000"
"Hilltop Holdings","","$320000"
"Scotiabank","","$300000"
"Mizuho Financial Group","","$250000"
"City National Corp","","$250000"
"SLM Corp","","$240000"
"Cross River Bank","","$210000"
"Banco Bilbao Vizcaya Argentaria","","$200000"
"SVB Financial Group","","$200000"
"Texas Capital Bancshares","","$197000"
"International Bancshares Corp","","$190000"
"Promerica Financial","","$180000"
"Mid-Sized Bank Coalition","","$180000"
"Cedrus Bank","","$170000"
"Service Employees International Union","","$160000"
"National Bankers Assn","","$150000"
"WebBank","","$140000"
"Leontiev Sergey","","$135000"
"First Premier Bank","","$120000"
"FirstBank (Colorado)","","$120000"
"Live Oak Bank","","$110000"
"Midfirst Bank","","$110000"
"First Horizon National","","$100000"
"East West Bancorp","","$100000"
"Zions Bancorp","","$96000"
"Association of Cyprus Banks","","$90000"
"National Cooperative Bank","","$90000"
"National Rural Lenders Assn","","$80000"
"Oriental Financial Group","","$80000"
"Council of Development Finance Agencies","","$80000"
"Franklin Savings Bank","","$80000"
"Zions Bank","","$80000"
"The Clearing House","","$70000"
"Bank of Beirut","","$70000"
"BNP Paribas","","$70000"
"National Assn of Credit Specialists","","$65000"
"MEAB sal","","$60000"
"Emigrant Bank","","$60000"
"New York Community Bancorp","","$56000"
"KeyBank","","$50000"
"Flushing Bank","","$45000"
"Marquette National Corp","","$30000"
"Midland Financial","","$30000"
"Gulf Coast Bank & Trust","","$20000"
"First BanCorp (Puerto Rico)","","$20000"
"Fenicia Bank","","$20000"
"CBW Bank","","$20000"
"Troy Bank & Trust Co","","$20000"
"Commerce Bancshares","","$0"
"Association of Military Banks of America","","$0"
"Arvest Bank Group","","$0"
"Signature Bank","","$0"
"International Banking Federation","","$0"
"Japan Bank for International Cooperation","","$0"
