REG_SNL_INSTN_KEY,year,CompanyName,CompanyType,PrimaryRegulator,YearEstablished,ParentName,ParentInstitutionKey,CountyandState,ZipCode,State,Initial_Scale,status,lobby_status,severe,capital_adequacy,asset_quality,management_quality,earning,liquidity,sensitivity_to_market_risk,deposit_to_asset_ratio,leverage,total_core_deposit,size,age,growth,distance,initial_market_size
1008093,2010,"The Peoples State Bank of Newton, Illinois",Commercial Bank,FDIC,1875,"Peoples Bancorp, Inc.",29492979,"Jasper, IL",62448,IL,122735,1,0,1,10.768685,-1.02,0,0.028495988,2.237149,22.262053,86.211334,7.6700001,262333,309798,135,9.188227583408761,962.8379515413658,3.50104E-05
1008097,2010,The First National Bank in Sioux Falls,Commercial Bank,OCC,1885,"Minnehaha Banshares, Inc.",1019463,"Minnehaha, SD",57104,SD,511372,1,0,0,18.210167,-2.52,-1,0.027248006,16.863983,6.8996668,71.95166,10.73,646174,1093291,125,4.634369287,1722.120415818469,8.70962E-05
1008098,2010,Greenfield Co-operative Bank,Commercial Bank,FED,1905,Greenfield Bancorp MHC,4227037,"Franklin, MA",01301,MA,111662,1,0,0,20.374071,-0.91000003,0,0.028233733,11.075277,15.02602,83.464737,11.65,232617,287918,105,2.922650542,552.8366968,5.52368E-05
1008099,2010,Salt Lick Deposit Bank,Commercial Bank,FDIC,1901,"Peoples of Fleming County Bancorp, Inc.",1024902,"Bath, KY",40371,KY,43936,1,0,0,11.655775,-1.24,0,0.023777936,1.212275,17.114878,85.513824,8.6400003,58944,78392,109,1.606034797,580.1204366586317,0.000100981
1008102,2010,Farmers State Bank,Commercial Bank,FDIC,1915,"Community Independent Bancorp, Inc.",1023400,"Wayne, OH",44287,OH,40486,1,0,0,14.333964,-1.4400001,0,0.034066085,8.7344694,2.3022368,82.257248,9.1599998,66074,81019,95,4.740850707,489.3337847792048,4.6073592e-06
1008103,2010,Katahdin Trust Company,Commercial Bank,FDIC,1918,Katahdin Bankshares Corp.,1020454,"Penobscot, ME",04765,ME,136346,1,0,0,13.0751,-1.49,0,0.040280718,2.7384887,19.614607,79.17749,10.63,278929,508978,92,0.317860142,1054.848464393797,0.002588284
1008104,2010,United Southern Bank,Commercial Bank,FDIC,1937,"UniSouth, Inc.",1020574,"Lake, FL",32784,FL,230573,1,0,0,12.569098,-2.5,0,0.04178904,9.1255226,11.9767,85.350952,9.1700001,298723,393261,73,2.257175589,1190.024074983559,0.000426427
1008105,2010,First South Bank,Commercial Bank,FDIC,1903,Simmons First National Corporation,100431,"Madison, TN",38305,TN,169002,1,0,0,13.62276,-1.78,0,0.034727875,7.3373671,19.435106,81.068924,8.46,341087,443419,107,3.573619632,1097.849567855193,0.000196388
1008108,2010,Anchor D Bank,Commercial Bank,FED,1906,"Texhoma Bancshares, Inc.",1023343,"Texas, OK",73949,OK,44672,1,0,0,14.456701,-1.03,0,0.032049384,4.0978694,13.842149,82.782761,9.9200001,101609,145151,104,14.03976488,2187.853411370907,7.59463E-05
100811,2010,"Blackhawk Bancorp, Inc.",Bank Holding Company,FED,1881,,NA,"Rock, WI",53512,WI,291468,1,0,0,10.573073,-1.8200001,0,0.03694953,1.7977656,10.407382,87.67276,7.27,427352,540494,129,2.731213435,1086.894155,0.000269397
