"Subsidiary","Total"
"New York Bankers Assn","$580000"
"American Bankers Insurance Assn","$265736"
"American Bankers Assn Securities Assn","$69732"
"Florida Bankers Assn","$0"
"Pennsylvania Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
