"Client/Parent","Subsidiary/Affiliate","Total"
"American Bankers Assn","","$5722296"
"JPMorgan Chase & Co","","$3635000"
"Citigroup Inc","","$3600000"
"Consumer Bankers Assn","","$1760000"
"Independent Community Bankers of America","","$1620147"
"Wells Fargo","","$1590000"
"BNP Paribas","","$1040000"
"Wachovia Corp","","$1010000"
"Bank of America","","$1000000"
"Alfa Bank","","$680000"
"ABN AMRO","","$580000"
"Banco Bilbao Vizcaya Argentaria","","$560000"
"Popular Inc","","$540000"
"Barclays","","$520000"
"FirstBank (Colorado)","","$420000"
"Citizens Financial Group","","$400000"
"National City Corp","","$394000"
"Parex Bank","","$304500"
"Merrick Bank","","$240000"
"National Assn of Govt Guaranteed Lenders","","$240000"
"Institute of International Bankers","","$240000"
"Deutsche Bank AG","","$240000"
"Macquarie Group","","$220000"
"Mellon Financial","","$220000"
"National Cooperative Bank","","$200000"
"Sound Banking Coalition","","$200000"
"Trasta Komercbanka","","$200000"
"Electronic Payments Coalition","","$180000"
"College Savings Plans Network","","$180000"
"HSBC Holdings","","$180000"
"Financial Services Group","","$180000"
"Agstar Financial Services","","$180000"
"The Clearing House","","$140000"
"PNC Financial Services","","$140000"
"Huntington Bancshares","","$130752"
"Financial Guardian Group","","$100000"
"Grupo Financiero Banorte","","$92000"
"AmSouth Bancorp","","$80000"
"Promontory Interfinancial Network","","$80000"
"Regions Financial","","$70000"
"Centrix Financial","","$70000"
"US Bancorp","","$60000"
"Institute for College Access & Success","","$60000"
"California Assn of Industrial Banks","","$48328"
"BIA Financial Network","","$40000"
"AgFirst Farm Credit Bank","","$40000"
"Council of Development Finance Agencies","","$40000"
"International Bank of Chicago","","$40000"
"Standard Chartered plc","","$25000"
"Enterprise National Bank","","$23000"
"London International Bank","","$20000"
"Swiss Bankers Assn","","$20000"
"Nexxar Group","","$20000"
"International Banking Federation","","$0"
"Japan Bank for International Cooperation","","$0"
"Johnson International","","$0"
"KeyCorp","","$0"
"SunTrust Banks","","$0"
"Sovereign Bancorp","","$0"
"Union Bank of California","","$0"
"United Bank of Philadelphia","","$0"
"Zions Bancorp","","$0"
"European Banking Federation","","$0"
"Fifth Third Bancorp","","$0"
"Colonial Bancgroup","","$0"
"HomeStreet Bank","","$0"
"AB Ukio Bankas","","$0"
"America West Bank","","$0"
"BB&T Corp","","$0"
"Bombardier Inc","","$0"
