"Client/Parent","Subsidiary/Affiliate","Total"
"Citigroup Inc","","$5440000"
"American Bankers Assn","","$4850377"
"JPMorgan Chase & Co","","$4700000"
"Consumer Bankers Assn","","$2120000"
"Independent Community Bankers of America","","$1185634"
"Bank of America","","$679350"
"Bank One Corp","","$640000"
"Wells Fargo","","$620000"
"Shinsei Bank","","$520000"
"Institute of International Bankers","","$440000"
"FleetBoston Financial","","$440000"
"Wachovia Corp","","$420000"
"Banco Bilbao Vizcaya Argentaria","","$275000"
"National Assn of Govt Guaranteed Lenders","","$240000"
"Barclays","","$220000"
"Financial Guardian Group","","$170000"
"Macquarie Group","","$160000"
"Mellon Financial","","$160000"
"Bank of New York","","$140000"
"AmSouth Bancorp","","$120000"
"Metropolitan Bank Group","","$120000"
"National Cooperative Bank","","$120000"
"BNP Paribas","","$110000"
"AgFirst Farm Credit Bank","","$80000"
"Bankfirst","","$80000"
"Star Network","","$80000"
"Huntington Bancshares","","$71000"
"Swiss Bankers Assn","","$60000"
"Regions Financial","","$60000"
"Standard Chartered plc","","$60000"
"PNC Financial Services","","$60000"
"KeyBank","","$60000"
"National City Corp","","$50000"
"New York Clearing House Assn","","$45000"
"National City Bank","","$40000"
"US Bancorp","","$40000"
"Westdeutsche Landesbank Girozentrale","","$40000"
"HomeStreet Bank","","$40000"
"Council of Development Finance Agencies","","$40000"
"California Assn of Industrial Banks","","$32331"
"Charter One Financial","","$30000"
"Zions Bancorp","","$30000"
"Toronto-Dominion Bank","","$30000"
"Merrick Bank","","$30000"
"Promontory Interfinancial Network","","$20000"
"RBC Centura Banks","","$20000"
"Societe Generale","","$20000"
"Spark Institute","","$20000"
"SunTrust Banks","","$20000"
"Citizens Bank","","$20000"
"HSBC Holdings","","$20000"
"Borrego Spring Bank","","$20000"
"ING Group","","$10000"
"Japan Bank for International Cooperation","","$0"
"KeyCorp","","$0"
"Superior Bank","","$0"
"TCF Financial","","$0"
"Roslyn Bancorp","","$0"
"Trustco Bank","","$0"
"California Tax Credit Allocation Cmte","","$0"
"Bombardier Inc","","$0"
"BB&T Corp","","$0"
"Bank of Alabama","","$0"
"Huntington National Bank","","$0"
"Fremont Group","","$0"
"Golden West Financial","","$0"
"Guaranty Bond Bank","","$0"
"Colonial Bancgroup","","$0"
"Comerica Inc","","$0"
"Deutsche Bank AG","","$0"
