"Client/Parent","Subsidiary/Affiliate","Total"
"Chase Manhattan","","$4680000"
"Citigroup Inc","","$4140000"
"American Bankers Assn","","$4015417"
"JPMorgan Chase & Co","","$1603200"
"Bank of America","","$1567331"
"Independent Community Bankers of America","","$987841"
"Wells Fargo","","$720000"
"FleetBoston Financial","","$620000"
"Wachovia Corp","","$480000"
"National Cooperative Bank","","$460000"
"PNC Financial Services","","$460000"
"Consumer Bankers Assn","","$360000"
"Banco Bilbao Vizcaya Argentaria","","$320000"
"National Assn of Govt Guaranteed Lenders","","$280000"
"Bank One Corp","","$240000"
"Institute of International Bankers","","$220000"
"Barclays","","$160000"
"Mellon Financial","","$140000"
"US Central Credit Corp","","$120000"
"US Bancorp","","$105000"
"Bank of New York","","$100000"
"AmSouth Bancorp","","$80000"
"AgFirst Farm Credit Bank","","$80000"
"Association of Banks of Israel","","$80000"
"California Tax Credit Allocation Cmte","","$80000"
"KeyCorp","","$80000"
"Sinclair National Bank","","$80000"
"Bankers Trust","","$63000"
"Fort Hood National Bank","","$60000"
"Metropolitan Bank Group","","$60000"
"Spark Institute","","$60000"
"California Assn of Industrial Banks","","$48651"
"Centura Banks","","$40000"
"Charter One Financial","","$40000"
"Superior Bank","","$40000"
"Swiss Bankers Assn","","$40000"
"HomeStreet Bank","","$40000"
"Grupo Financiero Banorte","","$40000"
"National City Corp","","$40000"
"Paribas","","$20000"
"Societe Generale","","$20000"
"TCF Financial","","$20000"
"Credit Lyonnais","","$20000"
"Banque Nationale de Paris","","$20000"
"Assn of Banks-In-Insurance","","$20000"
"Bank Hapoalim BM","","$20000"
"British Trade & Commerce Bank","","$10000"
"Bombardier Inc","","$0"
"Bank Tax Coalition","","$0"
"Bank of Alabama","","$0"
"First Citizens Bancshares","","$0"
"First National of Nebraska","","$0"
"Fremont Group","","$0"
"Golden West Financial","","$0"
"Central American Bank/Econ Integration","","$0"
"Colonial Bancgroup","","$0"
"Comerica Inc","","$0"
"Standard Chartered plc","","$0"
"SunTrust Banks","","$0"
"Wilmington Savings Fund Soc Financial","","$0"
"Sovereign Bancorp","","$0"
"Sanwa Bank","","$0"
"Guaranty Bond Bank","","$0"
