"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Glover Park Group","$0","Standard Chartered Bank"," Joel P Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Standard Chartered Bank","$500000",""," Michael Beresik ","Revolving Door Profiles","Non Former Members of Congress"
