"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ally Financial","$2510000",""," Michele E Lieber ","No Revolving Door Profiles","Non Former Members of Congress"
"Capitol Hill Strategies","$35000","Ally Financial"," Charles M Brain ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Hill Strategies","$35000","Ally Financial"," Heather McHugh ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Hill Strategies","$35000","Ally Financial"," Beau Schuyler ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Hill Strategies","$35000","Ally Financial"," Adam J Wojciak ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Steve Clark ","No Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Jay N III Cranford ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Sam K Geduldig ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Gary R Lytle ","No Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Michael Nielsen ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Deborah Pryce ","Revolving Door Profiles","Former Members of Congress"
"Clark Geduldig et al","$80000","Ally Financial"," Amy Wren ","Revolving Door Profiles","Non Former Members of Congress"
"Lugar Hellmann Group","$80000","Ally Financial"," Dave Lugar ","No Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$60000","Ally Financial"," Geof Gradler ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$60000","Ally Financial"," Jonathan R Paret ","No Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$60000","Ally Financial"," Warren Tryon ","Revolving Door Profiles","Non Former Members of Congress"
"Tim Yehl LLC","$80000","Ally Financial"," Timothy Yehl ","Revolving Door Profiles","Non Former Members of Congress"
