"Subsidiary","Total"
"Pennsylvania Bankers Assn","$165497"
"American Bankers Assn Securities Assn","$140000"
"American Bankers Insurance Assn","$120000"
"New York Bankers Assn","$120000"
"Florida Bankers Assn","$20000"
"California Bankers Assn","$10000"
"Kentucky Bankers Assn","$0"
"Massachusetts Bankers Assn","$0"
