"Subsidiary","Total"
"New York Bankers Assn","$590000"
"American Bankers Insurance Assn","$170000"
"American Bankers Assn Securities Assn","$127000"
"Puerto Rican Bankers Assn","$10000"
"Florida Bankers Assn","$0"
