"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Van Scoyoc Assoc","$80000","Promontory Interfinancial Network"," Dawn Callaghan ","Revolving Door Profiles","Non Former Members of Congress"
"Van Scoyoc Assoc","$80000","Promontory Interfinancial Network"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Van Scoyoc Assoc","$80000","Promontory Interfinancial Network"," H Stewart Van Scoyoc ","Revolving Door Profiles","Non Former Members of Congress"
