"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Dorsey & Whitney","$0","Union Bank of California"," Justin Stiefel ","Revolving Door Profiles","Non Former Members of Congress"
