"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Glover Park Group","$40000","Standard Chartered Bank"," Susan Brophy ","Revolving Door Profiles","Non Former Members of Congress"
"Glover Park Group","$40000","Standard Chartered Bank"," Joy Drucker ","Revolving Door Profiles","Non Former Members of Congress"
"Glover Park Group","$40000","Standard Chartered Bank"," Joel P Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Glover Park Group","$40000","Standard Chartered Bank"," Brett O'Brien ","Revolving Door Profiles","Non Former Members of Congress"
"Glover Park Group","$40000","Standard Chartered Bank"," Beth Tritter ","Revolving Door Profiles","Non Former Members of Congress"
