"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Blackwell Sanders LLP","$5000","First National Of Nebraska"," Kyle J Gilster ","Revolving Door Profiles","Non Former Members of Congress"
