"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Fifth Third Bancorp","$80000",""," Thomas J Ruebel ","No Revolving Door Profiles","Non Former Members of Congress"
"Sonnenschein Nath & Rosenthal","$110000","Fifth Third Bancorp"," Jonathan Vogel ","Revolving Door Profiles","Non Former Members of Congress"
