"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," Melissa Hampe ","Revolving Door Profiles","Non Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," Ellen Riddleberger Kunert ","Revolving Door Profiles","Non Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," John P McAllister ","Revolving Door Profiles","Non Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," Andrew S Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," Steve Scango ","Revolving Door Profiles","Non Former Members of Congress"
"McAllister & Quinn","$10000","National Assn of Credit Specialists"," Nicole Venable ","Revolving Door Profiles","Non Former Members of Congress"
