"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Policy Development Group","$0","Montage Holdings"," Jason Isaak ","Revolving Door Profiles","Non Former Members of Congress"
"Policy Development Group","$0","Montage Holdings"," Ron Ober ","No Revolving Door Profiles","Non Former Members of Congress"
"Policy Development Group","$0","Montage Holdings"," Paul Senseman ","No Revolving Door Profiles","Non Former Members of Congress"
