"Subsidiary","Total"
"American Bankers Assn Securities Assn","$370334"
"American Bankers Insurance Assn","$200000"
"New York Bankers Assn","$120000"
"California Bankers Assn","$80000"
"Pennsylvania Bankers Assn","$77000"
"Kentucky Bankers Assn","$0"
"Massachusetts Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
