"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Bank of America","$3220000",""," Keith Agisim ","No Revolving Door Profiles","Non Former Members of Congress"
"Bank of America","$3220000",""," John E Collingwood ","No Revolving Door Profiles","Non Former Members of Congress"
"Bank of America","$3220000",""," Edward Jeffrey Hill ","No Revolving Door Profiles","Non Former Members of Congress"
"Bank of America","$3220000",""," Darrell Minott ","No Revolving Door Profiles","Non Former Members of Congress"
"Bryan Cave Strategies","$100000","Bank of America"," Broderick D Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Buckley Kolar","$0","Countrywide Financial"," Kirk Jensen ","No Revolving Door Profiles","Non Former Members of Congress"
"Buckley Kolar","$0","Countrywide Financial"," Jeffrey P Naimon ","No Revolving Door Profiles","Non Former Members of Congress"
"Countrywide Financial","$1323000",""," Angie Garcia Lathrop ","No Revolving Door Profiles","Non Former Members of Congress"
"Countrywide Financial","$1323000",""," Gordon R Mills ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$100000","Bank of America"," Holly Fechner ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$100000","Bank of America"," Robert S Newman ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$100000","Bank of America"," Richard C Shea ","No Revolving Door Profiles","Non Former Members of Congress"
"Dewey Square Group","$140000","Countrywide Financial"," Charles Campion ","No Revolving Door Profiles","Non Former Members of Congress"
"Dewey Square Group","$140000","Countrywide Financial"," Maria Cardona ","No Revolving Door Profiles","Non Former Members of Congress"
"Dewey Square Group","$140000","Countrywide Financial"," Stephanie J Markiewicz ","No Revolving Door Profiles","Non Former Members of Congress"
"Dewey Square Group","$140000","Countrywide Financial"," Maria Robles Meier ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$180000","Countrywide Financial"," Doyle Bartlett ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$180000","Countrywide Financial"," Jennifer L Bendall ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$180000","Countrywide Financial"," Shayne Gill ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$180000","Countrywide Financial"," Laurie B Gravatt ","Revolving Door Profiles","Non Former Members of Congress"
