"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Alston & Bird","$20000","Institute of International Bankers"," Ed McClellan ","Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$60000","Institute of International Bankers"," Kenneth L Jr Bachman ","Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$60000","Institute of International Bankers"," Derek M Bush ","No Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$60000","Institute of International Bankers"," Yaron Z Reich ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$300000",""," Richard W Coffman ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$300000",""," Lawrence R Uhlick ","No Revolving Door Profiles","Non Former Members of Congress"
"Steptoe & Johnson","$60000","Institute of International Bankers"," John T Collins ","Revolving Door Profiles","Non Former Members of Congress"
