"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Community Bankers Assn of Illinois","$200000",""," David Schroeder ","No Revolving Door Profiles","Non Former Members of Congress"
"Hollier & Assoc","$190000","Independent Community Bankers of America"," William Hollier ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Chris Cole ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Brian Cooney ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Elizabeth Eurgubian ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," John Hand ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Walter Haynie ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," James A Keller ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Jason Kratovil ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," David Lynch ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Renee L Rappaport ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Aaron Stetter ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4851000",""," Leigh III Whaley ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Natalie Armel ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Bryan Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Margaret Werncke ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Lauren Wilson ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Timothy R Rupli & Assoc","$780000","Independent Community Bankers of America"," Timothy R Rupli ","Revolving Door Profiles","Non Former Members of Congress"
