"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Patton Boggs LLP","$40000","MEAB sal"," Gassan Baloul ","No Revolving Door Profiles","Non Former Members of Congress"
"Patton Boggs LLP","$40000","MEAB sal"," Laurence Harris ","Revolving Door Profiles","Non Former Members of Congress"
"Patton Boggs LLP","$40000","MEAB sal"," Stephen McHale ","Revolving Door Profiles","Non Former Members of Congress"
