"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cleary Gottlieb et al","$840000","Institute of International Bankers"," Derek M Bush ","No Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$840000","Institute of International Bankers"," Colin Lloyd ","No Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$840000","Institute of International Bankers"," Erika Nijenhuis ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$1180000",""," Paul Begey ","Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$1180000",""," Richard W Coffman ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$1180000",""," Sarah A Miller ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$1180000",""," Briget Polichene ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$1180000",""," Stephanie Webster ","No Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$60000","Institute of International Bankers"," John A Anderson ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$60000","Institute of International Bankers"," Mitchell L Feuer ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$60000","Institute of International Bankers"," Tom Koonce ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$60000","Institute of International Bankers"," Jared Sawyer ","Revolving Door Profiles","Non Former Members of Congress"
"Steptoe & Johnson","$0","Institute of International Bankers"," John T Collins ","Revolving Door Profiles","Non Former Members of Congress"
