"Subsidiary","Total"
"New York Bankers Assn","$400000"
"American Bankers Insurance Assn","$190000"
"American Bankers Assn Securities Assn","$40000"
"Texas Bankers Assn","$30000"
"Florida Bankers Assn","$0"
