"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ehrlich & Assoc","$30000","Merrick Bank"," Andrew Ehrlich ","Revolving Door Profiles","Non Former Members of Congress"
