"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Dawn Callaghan ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Alison Crombie ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Kenneth A Guenther ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Richard Gupton ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," John H Hanley ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1145634",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Morrison Public Affairs Group","$20000","Independent Community Bankers of America"," Bruce A Morrison ","Revolving Door Profiles","Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
