"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cleary Gottlieb et al","$0","Institute of International Bankers"," Kenneth L Jr Bachman ","Revolving Door Profiles","Non Former Members of Congress"
"Fleishman-Hillard Inc","$0","Institute of International Bankers"," Ann Thomas G Johnston ","Revolving Door Profiles","Non Former Members of Congress"
"Fleishman-Hillard Inc","$0","Institute of International Bankers"," Daniel B Scherder ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$220000",""," Richard W Coffman ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$220000",""," Lawrence R Uhlick ","No Revolving Door Profiles","Non Former Members of Congress"
"Steptoe & Johnson","$60000","Institute of International Bankers"," John T Collins ","Revolving Door Profiles","Non Former Members of Congress"
