"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Wheat Government Relations","$80000","Sinclair National Bank"," Alan Wheat ","Revolving Door Profiles","Former Members of Congress"
