"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Shearman & Sterling","$20000","Paribas"," Frederick T Davis ","No Revolving Door Profiles","Non Former Members of Congress"
"Shearman & Sterling","$20000","Paribas"," Kenneth M Kramer ","No Revolving Door Profiles","Non Former Members of Congress"
