"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Washington Tax Group","$10000","Medallion Bank"," Noushin Jahanian ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Tax Group","$10000","Medallion Bank"," Nancy Ellen McCarthy ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Tax Group","$10000","Medallion Bank"," Gregory Nickerson ","Revolving Door Profiles","Non Former Members of Congress"
