"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Citizens Financial Group","$980000",""," Donna Brady ","No Revolving Door Profiles","Non Former Members of Congress"
"Citizens Financial Group","$980000",""," Kenneth W Robinson ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$230000","Citizens Financial Group"," Charles A III Baker ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$230000","Citizens Financial Group"," Matthew C Bernstein ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$230000","Citizens Financial Group"," Andrew D Eskin ","Revolving Door Profiles","Non Former Members of Congress"
"RBS Securities","$50000",""," Mary Lynn O'Neill ","No Revolving Door Profiles","Non Former Members of Congress"
