"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Buchanan Ingersoll & Rooney","$25000","PNC Financial Services"," Paul S Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"Buchanan Ingersoll & Rooney","$25000","PNC Financial Services"," Robert S Winters ","Revolving Door Profiles","Non Former Members of Congress"
"CJR Group","$10000","National City Bank"," Steven Abbott ","Revolving Door Profiles","Non Former Members of Congress"
"CJR Group","$10000","National City Bank"," Laurel Dawson ","Revolving Door Profiles","Non Former Members of Congress"
"CJR Group","$10000","National City Bank"," Josh Rubin ","Revolving Door Profiles","Non Former Members of Congress"
"Cypress Advocacy","$10000","National City Bank"," J Patrick Cave ","Revolving Door Profiles","Non Former Members of Congress"
"Cypress Advocacy","$10000","National City Bank"," Ben Dupuy ","Revolving Door Profiles","Non Former Members of Congress"
"Cypress Advocacy","$10000","National City Bank"," Brant Imperatore ","Revolving Door Profiles","Non Former Members of Congress"
"Cypress Advocacy","$10000","National City Bank"," Alex Sternhell ","Revolving Door Profiles","Non Former Members of Congress"
"PNC Bank Corp","$455000",""," Thomas F Lamb ","No Revolving Door Profiles","Non Former Members of Congress"
