"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"K&L Gates","$50000","NewStar Financial"," Daniel FC Crowley ","Revolving Door Profiles","Non Former Members of Congress"
"K&L Gates","$50000","NewStar Financial"," Harry Grill ","No Revolving Door Profiles","Non Former Members of Congress"
"K&L Gates","$50000","NewStar Financial"," Patrick G Heck ","Revolving Door Profiles","Non Former Members of Congress"
"K&L Gates","$50000","NewStar Financial"," Emanuel Rouvelas ","Revolving Door Profiles","Non Former Members of Congress"
"K&L Gates","$50000","NewStar Financial"," Franklin Stearns ","No Revolving Door Profiles","Non Former Members of Congress"
