"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Keese James P","$60000","National Cooperative Bank"," James P III Keese ","Revolving Door Profiles","Non Former Members of Congress"
