"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Oldaker & Willison","$80000","First BanCorp (Puerto Rico)"," William L Clay ","Revolving Door Profiles","Former Members of Congress"
"Oldaker & Willison","$80000","First BanCorp (Puerto Rico)"," Jeffrey Goff ","Revolving Door Profiles","Non Former Members of Congress"
"Oldaker & Willison","$80000","First BanCorp (Puerto Rico)"," Javier Llano ","Revolving Door Profiles","Non Former Members of Congress"
"Oldaker & Willison","$80000","First BanCorp (Puerto Rico)"," William C Oldaker ","Revolving Door Profiles","Non Former Members of Congress"
