"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Barclays","$400000",""," Barry Berlin ","No Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$400000",""," Mike Davis ","No Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$400000",""," Lawrence Dickinson ","No Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$400000",""," Kevin Mirabile ","No Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$400000",""," Marlene Nicholson ","No Revolving Door Profiles","Non Former Members of Congress"
"Sullivan & Cromwell","$40000","Barclays"," Samuel R III Woodall ","Revolving Door Profiles","Non Former Members of Congress"
