"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Abigail Fox Bresett ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Alison Crombie ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Kenneth A Guenther ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Richard Gupton ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," John H Hanley ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Joi E Sheffield ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$1344895",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
