"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"LaSalle Bank","$0",""," Robert L Hamlin ","No Revolving Door Profiles","Non Former Members of Congress"
"Lotstein Buckman","$600000","ABN AMRO Mortgage Group"," Kay R Kinney ","No Revolving Door Profiles","Non Former Members of Congress"
"Lotstein Buckman","$600000","ABN AMRO Mortgage Group"," Robert Lotstein ","No Revolving Door Profiles","Non Former Members of Congress"
"Lotstein Buckman","$600000","ABN AMRO Mortgage Group"," Grant E Mitchell ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$160000","Chicago Deferred Exchange Corp"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$160000","Chicago Deferred Exchange Corp"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$160000","Chicago Deferred Exchange Corp"," Arshi Siddiqui ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$160000","Chicago Deferred Exchange Corp"," Frank Vlossak ","Revolving Door Profiles","Non Former Members of Congress"
