"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," James F Carlisle ","No Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Jayne T Fitzgerald ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Tim Hanford ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Kenneth J Kies ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Robert J Leonard ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," John K Meagher ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Scott D Parven ","Revolving Door Profiles","Non Former Members of Congress"
"Clark Consulting Federal Policy Group","$240000","HSBC North America"," Patrick J 'Pat' Raffaniello ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Group","$130000","HSBC North America"," Gary Andres ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Group","$130000","HSBC North America"," Laine Glisson Oliver ","Revolving Door Profiles","Non Former Members of Congress"
"Government Edge","$100000","HSBC North America"," Dayna Baird ","No Revolving Door Profiles","Non Former Members of Congress"
"Government Edge","$100000","HSBC North America"," Donald F Baird ","No Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$1040000",""," Blake Hanlon ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$1040000",""," J Dennis O'Toole ","No Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$1040000",""," Don Spencer ","No Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$1040000",""," Janet G St Amand ","No Revolving Door Profiles","Non Former Members of Congress"
"McGlotten & Jarvis","$40000","HSBC North America"," John T Jarvis ","No Revolving Door Profiles","Non Former Members of Congress"
"McGlotten & Jarvis","$40000","HSBC North America"," Robert M McGlotten ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","HSBC Bank"," Rebecca L Anderson ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","HSBC Bank"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","HSBC Bank"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","HSBC Bank"," Susan Hirschmann ","Revolving Door Profiles","Non Former Members of Congress"
"Winstead Sechrest & Minick","$0","HSBC North America"," Paul N Wageman ","No Revolving Door Profiles","Non Former Members of Congress"
