"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Russ Reid Co","$0","Commonwealth Corp"," Mark D McIntyre ","Revolving Door Profiles","Non Former Members of Congress"
