"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Capitol Tax Partners","$0","Societe Generale"," William Fant ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$0","Societe Generale"," Lindsay D Hooper ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$0","Societe Generale"," Joseph Mikrut ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$0","Societe Generale"," Jonathan Talisman ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","SG Cowen & Co"," John C Dugan ","Revolving Door Profiles","Non Former Members of Congress"
