"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Terry Allen ","Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Edwin A Buckham ","Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Brian Darling ","Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Karl M Gallant ","No Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Daniel Gans ","Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Terry L Haines ","Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Mike Mihalke ","No Revolving Door Profiles","Non Former Members of Congress"
"Alexander Strategy Group","$300000","American Bankers Assn"," Tony C Rudy ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Jeanine Henderson Arnett ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," James Ballentine ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Mark Baran ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," John Blanchfield ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Lisa J Bleier ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Peter L Blocklin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," John J Byrne ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," C Dawn Causey ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," James Chessen ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Kenneth Clayton ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Dionne M Davies ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Kerry Early ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Nessa Feddis ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Donna J Fisher ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Robert Fouberg ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," William Douglas Johnson ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Bess Kozlow ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Keith Leggett ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," James D McLaughlin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Sarah A Miller ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Scott Nishioki ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Gerald Joseph Pigg ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," John R Rasmus ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Deborah L Shannon ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Shawn Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Floyd Stoner ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Robert William Strand ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Laura Vogel ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Adam Wasch ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Alison F Watson ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$4576000",""," Edward L Yingling ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$85630",""," Beth L Climo ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$85630",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$85630",""," James D McLaughlin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$85630",""," Sarah A Miller ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," Beth L Climo ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," E Kenneth Reynolds ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," Paul A Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"Barnett Sivon & Natter","$0","American Bankers Insurance Assn"," James C Sivon ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$160000","American Bankers Assn"," Jeffrey Bergner ","Revolving Door Profiles","Non Former Members of Congress"
