"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"BB&T Corp","$729775",""," John Hardage ","Revolving Door Profiles","Non Former Members of Congress"
"BB&T Corp","$729775",""," Mary Wasaff ","No Revolving Door Profiles","Non Former Members of Congress"
"SunTrust Banks","$150641",""," Mark Oesterle ","Revolving Door Profiles","Non Former Members of Congress"
"SunTrust Banks","$150641",""," Brenda L Skidmore ","No Revolving Door Profiles","Non Former Members of Congress"
