"Subsidiary","Total"
"California Bankers Assn","$160000"
"American Bankers Insurance Assn","$120000"
"New York Bankers Assn","$100000"
"American Bankers Assn Securities Assn","$85630"
"Pennsylvania Bankers Assn","$83022"
"Puerto Rican Bankers Assn","$40000"
"Kentucky Bankers Assn","$0"
"Massachusetts Bankers Assn","$0"
