"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"PNC Financial Services","$200000",""," Tara Wade Foscato ","Revolving Door Profiles","Non Former Members of Congress"
