"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Clearing House Payments Co","$1160000",""," Jill Hershey ","Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1160000",""," Kristin Harrison Richardson ","Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1160000",""," Paul Saltzman ","No Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1160000",""," John Van Etten ","Revolving Door Profiles","Non Former Members of Congress"
"Sullivan & Cromwell","$120000","Clearing House Payments Co"," Samuel R III Woodall ","Revolving Door Profiles","Non Former Members of Congress"
"TG&C Group","$88000","Clearing House Payments Co"," David F Crane ","Revolving Door Profiles","Non Former Members of Congress"
"TG&C Group","$88000","Clearing House Payments Co"," J Eric Gould ","Revolving Door Profiles","Non Former Members of Congress"
"TG&C Group","$88000","Clearing House Payments Co"," Karen L Thurman ","Revolving Door Profiles","Former Members of Congress"
"Venable LLP","$170000","The Clearing House"," Daris Meeks ","Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$170000","The Clearing House"," Andrew Olmem ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$200000","The Clearing House"," Thomas Carpenter ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$200000","The Clearing House"," George Rogers ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$200000","The Clearing House"," Dale W Snape ","No Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$200000","The Clearing House"," Robert S Walker ","Revolving Door Profiles","Former Members of Congress"
"WilmerHale LLP","$60000","The Clearing House"," Dan Berkovitz ","Revolving Door Profiles","Non Former Members of Congress"
