"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"American Bankers Assn","$12050000",""," Wayne Abernathy ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," James Ballentine ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," William H Boger ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Cecelia A Calaby ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," James Chessen ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Kenneth Clayton ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Robin Cook ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Dionne M Davies ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Robert R Davis ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Denyette Depierro ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Edwin Elfmann ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Daniel Fernandez ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Renee Galbraith ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Frank Keating ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Timothy E Keehan ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," John Kinsella ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Cristeena Naser ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Robert S Nichols ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Adam Noah ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Gerald Joseph Pigg ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Joan Gregory Saenz ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Lawrence Seyfried ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Robert William Strand ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$12050000",""," Molly A Wilkinson ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$0",""," Cecelia A Calaby ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$140000",""," Renee Galbraith ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$140000",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"Barnett Sivon & Natter","$36000","American Bankers Insurance Assn"," James C Sivon ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$120000","American Bankers Assn HSA Council"," Shannon Finley ","Revolving Door Profiles","Non Former Members of Congress"
