"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"AmSouth Bancorp","$60000",""," Martin E Simmons ","No Revolving Door Profiles","Non Former Members of Congress"
"Miller Hamilton et al","$80000","AmSouth Bank of Alabama"," Palmer C Hamilton ","No Revolving Door Profiles","Non Former Members of Congress"
