"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Fleishman-Hillard Inc","$60000","Sovereign Bancorp"," Roger Berry ","Revolving Door Profiles","Non Former Members of Congress"
"Fleishman-Hillard Inc","$60000","Sovereign Bancorp"," John D Cahill ","No Revolving Door Profiles","Non Former Members of Congress"
