"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ward & Smith","$100000","First Citizens Bancshares"," Jennifer Bowman ","Revolving Door Profiles","Non Former Members of Congress"
"Ward & Smith","$100000","First Citizens Bancshares"," Hugh R Overholt ","No Revolving Door Profiles","Non Former Members of Congress"
"Ward & Smith","$100000","First Citizens Bancshares"," David L Ward ","No Revolving Door Profiles","Non Former Members of Congress"
