"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Butera & Andrews","$40000","Superior Bank"," Cliff Andrews ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$40000","Superior Bank"," Wright H Jr Andrews ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$40000","Superior Bank"," J Caleb III Boggs ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$40000","Superior Bank"," James J Butera ","No Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$40000","Superior Bank"," Frank Tillotson ","Revolving Door Profiles","Non Former Members of Congress"
"Miller Hamilton et al","$0","Superior Bank"," Palmer C Hamilton ","No Revolving Door Profiles","Non Former Members of Congress"
