"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Danielle Fagre Arlowe ","No Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Tom Corcoran ","Revolving Door Profiles","Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Timothy W Jenkins ","No Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Patrick E O'Donnell ","Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Thomas H Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$140000","US Central Credit Corp"," Colin T Roskey ","Revolving Door Profiles","Non Former Members of Congress"
