"Subsidiary","Total"
"American Bankers Insurance Assn","$140000"
"Pennsylvania Bankers Assn","$104796"
"American Bankers Assn Securities Assn","$100000"
"New York Bankers Assn","$80000"
"California Bankers Assn","$37500"
"Kentucky Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
