"Subsidiary","Total"
"American Bankers Assn Securities Assn","$340000"
"American Bankers Insurance Assn","$160000"
"New York Bankers Assn","$120000"
"Pennsylvania Bankers Assn","$104617"
"California Bankers Assn","$20000"
"Kentucky Bankers Assn","$0"
"Massachusetts Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
