"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Butera & Andrews","$0","North Fork Bank"," Wright H Jr Andrews ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$0","North Fork Bank"," J Caleb III Boggs ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$0","North Fork Bank"," James J Butera ","No Revolving Door Profiles","Non Former Members of Congress"
